gaze_x,gaze_y,pupil_x,pupil_y,pred_x,pred_y
900,935,176.4090576171875,274.37872314453125,902.1940642376522,643.5585210142037
900,935,177.44976806640625,275.0980529785156,903.1528032135361,647.769152556964
900,935,178.99591064453125,275.9990234375,903.802892979633,654.0839886884255
900,935,179.2433319091797,275.7903747558594,902.2780170055522,655.2192039519279
900,935,176.56011962890625,274.2724914550781,901.3607380191305,644.2441449825949
900,935,172.3523712158203,271.50732421875,898.1454884601388,627.1693282535464
900,935,174.9429168701172,273.6038513183594,901.9445495285307,637.5423453453069
900,935,177.04054260253906,275.0452880859375,903.838066682938,646.0321486709673
900,935,179.2477569580078,275.39410400390625,900.4384951491704,655.3782253414302
900,935,179.51998901367188,274.95196533203125,897.7793414632732,656.7023957797436
900,935,177.66546630859375,274.7109680175781,900.8761391895214,648.8313275421674
1440,935,171.77630615234375,271.19793701171875,898.0246888259511,624.8072398064749
1440,935,172.20327758789062,270.5843505859375,894.2227765702164,626.8558573229926
1440,935,174.0985107421875,271.37457275390625,893.5692004330449,634.7074914492017
1440,935,172.48135375976562,272.04522705078125,900.336078144657,627.5325982578963
1440,935,173.94613647460938,272.2698974609375,898.0485401220511,633.7373820416558
1440,935,178.11041259765625,274.0567932128906,896.8460415165977,650.9714038178438
1440,935,178.471435546875,274.21270751953125,896.7464024323556,652.4651585895316
1440,935,176.9779815673828,272.7578430175781,893.4195363255092,646.5721052020635
1440,935,173.97413635253906,271.88897705078125,896.226376312662,633.9921190399508
1440,935,178.47499084472656,273.90899658203125,895.336179063655,652.5877391083958
1440,935,178.074951171875,288.3891296386719,963.0951595431525,645.7543990946004
1440,935,174.90789794921875,304.7315673828125,1045.7325130129248,626.3919614342582
1440,935,169.61465454101562,301.08868408203125,1040.9289494394898,604.9703511783026
1440,935,154.82948303222656,303.8706359863281,1087.3320576393014,540.5562172094601
1440,935,171.01010131835938,301.25677490234375,1038.5375779155147,610.8976659257011
1440,935,171.7150421142578,301.7346496582031,1039.1437164864358,613.7531128885943
1440,935,171.56076049804688,301.35113525390625,1037.723321713811,613.2267464009064
1440,935,154.0478515625,305.2572021484375,1095.5076258107852,536.7128833981717
1440,935,172.41583251953125,303.95391845703125,1047.7988338985524,615.9753670064418
1440,935,175.7454833984375,306.4263000488281,1051.6554859668618,629.3864552514231
1440,935,162.30865478515625,299.45306396484375,1049.9609716292136,574.2043148834808
1440,935,173.19285583496094,303.83026123046875,1045.4642437278642,619.3526347517918
1440,935,168.47764587402344,300.0447082519531,1038.6899842004386,600.461308923861
1440,935,173.84352111816406,304.06671142578125,1045.078983848693,622.0605464973927
1440,935,172.53665161132812,302.5885009765625,1041.2208238642738,616.9762239940358
1440,935,163.48886108398438,301.55908203125,1057.005055981689,578.523370219474
1440,935,171.80517578125,301.32806396484375,1037.0620307606155,614.2834847319074
1440,935,147.03390502929688,310.0153503417969,1133.3950883714697,504.9403296509671
1440,935,150.59341430664062,305.9902648925781,1106.7329087533585,521.6336752703983
